date,home_team,away_team,elo_home_pre,elo_away_pre,home_score,away_score,tournament,neutral
1890-03-15,Northern Ireland,England,1209.8073387907918,1652.2877790717944,1,9,British Home Championship,False
1890-03-15,Wales,England,1420.1733932769778,1660.996698628242,1,3,British Home Championship,False
1890-03-22,Scotland,Wales,1723.3270040910415,1406.3244967148707,5,0,British Home Championship,False
1890-03-29,Northern Ireland,Scotland,1201.0984192343442,1728.3152644220586,1,4,British Home Championship,False
1890-04-05,Scotland,England,1732.4503834082752,1674.845595190349,1,1,British Home Championship,False
1891-02-07,Northern Ireland,Wales,1196.9633002481276,1401.3362363838537,7,2,British Home Championship,False
1891-03-07,England,Wales,1681.2186841049993,1362.5856180314179,4,1,British Home Championship,False
1891-03-07,England,Northern Ireland,1685.5459961605295,1235.7139186005634,6,1,British Home Championship,False
1891-03-21,Wales,Scotland,1358.2583059758877,1726.077294493625,3,4,British Home Championship,False
1891-03-28,Scotland,Northern Ireland,1731.3659863623363,1233.283866191269,2,1,British Home Championship,False
1891-04-04,England,Scotland,1687.976048569824,1732.2954818141452,2,1,British Home Championship,False
1892-02-27,Wales,Northern Ireland,1352.9696141071763,1232.3543707394601,1,1,British Home Championship,False
1892-03-05,Northern Ireland,England,1240.7764653523373,1700.5924966052983,0,2,British Home Championship,False
1892-03-05,Wales,England,1344.5475194942992,1705.6289409937372,0,2,British Home Championship,False
1892-03-19,Northern Ireland,Scotland,1235.7400209638984,1719.6790337786708,2,3,British Home Championship,False
1892-03-26,Scotland,Wales,1722.6443669126731,1336.3578532774277,6,1,British Home Championship,False
1892-04-02,Scotland,England,1726.0861195876287,1713.8186072106087,1,4,British Home Championship,False
1893-02-25,England,Northern Ireland,1748.2674279608143,1232.774687829896,6,1,British Home Championship,False
1893-03-13,England,Wales,1749.9541201246252,1332.9161006024722,6,0,British Home Championship,False
1893-03-18,Wales,Scotland,1329.823737801262,1691.637298837423,0,8,British Home Championship,False
1893-03-25,Scotland,Northern Ireland,1704.559626353679,1231.0879956660851,6,1,British Home Championship,False
1893-04-01,England,Scotland,1753.0464829258353,1706.69149471337,5,2,British Home Championship,False
1894-02-24,Wales,Northern Ireland,1316.901410285006,1228.9561273063941,4,1,British Home Championship,False
1894-03-03,Northern Ireland,England,1215.6659295216607,1768.8495732510378,2,2,British Home Championship,False
1894-03-12,Wales,England,1330.1916080697395,1755.906924577911,1,5,British Home Championship,False
1894-03-24,Scotland,Wales,1690.8884043881676,1322.7121625681154,5,2,British Home Championship,False
1894-03-31,Northern Ireland,Scotland,1228.6085781947875,1694.2099073742165,1,2,British Home Championship,False
1894-04-07,Scotland,England,1697.4695091627807,1763.386370079535,2,2,British Home Championship,False
1895-03-09,England,Northern Ireland,1764.853155319194,1225.3489764062233,9,0,British Home Championship,False
1895-03-16,Northern Ireland,Wales,1223.5061001479955,1319.3906595820665,2,2,British Home Championship,False
1895-03-18,England,Wales,1766.6960315774218,1319.5683291244684,1,1,British Home Championship,False
1895-03-23,Wales,Scotland,1333.33502352426,1696.0027239231217,2,2,British Home Championship,False
1895-03-30,Scotland,Northern Ireland,1686.4218378664011,1223.3284306055937,3,1,British Home Championship,False
1895-04-06,England,Scotland,1752.9293371776303,1688.1154668381375,3,0,British Home Championship,False
1896-02-29,Wales,Northern Ireland,1342.9159095809805,1221.6348016338573,6,1,British Home Championship,False
1896-03-07,Northern Ireland,England,1208.518318337358,1767.5840455472,0,2,British Home Championship,False
1896-03-16,Wales,England,1356.0323928774797,1770.5741559387968,1,9,British Home Championship,False
1896-03-21,Scotland,Wales,1673.4607584685677,1346.017504638301,4,0,British Home Championship,False
1896-03-28,Northern Ireland,Scotland,1205.5282079457613,1677.8859265169658,3,3,British Home Championship,False
1896-04-04,Scotland,England,1666.034235474925,1780.5890441779754,2,1,British Home Championship,False
1897-02-20,England,Northern Ireland,1764.9610299085116,1217.379898987802,6,0,British Home Championship,False
1897-03-06,Northern Ireland,Wales,1215.8829472643738,1341.592336589903,4,3,British Home Championship,False
1897-03-20,Wales,Scotland,1325.4843945214448,1681.6622497443889,2,2,British Home Championship,False
1897-03-27,Scotland,Northern Ireland,1672.24922714983,1231.990889332832,5,1,British Home Championship,False
1897-03-29,England,Wales,1766.45798163194,1334.8974171160037,4,0,British Home Championship,False
1897-04-03,England,Scotland,1768.977509938258,1674.650966296546,1,2,British Home Championship,False
1898-02-19,Wales,Northern Ireland,1332.3778888096856,1229.589150186116,0,1,British Home Championship,False
1898-03-05,Northern Ireland,England,1252.4690979224276,1746.365455199624,2,3,British Home Championship,False
1898-03-19,Scotland,Wales,1697.26302103518,1309.497941073374,5,2,British Home Championship,False
1898-03-26,Northern Ireland,Scotland,1249.6534514991104,1700.2504836773123,0,3,British Home Championship,False
1898-03-28,Wales,England,1306.5104784312416,1749.1811016229412,0,3,British Home Championship,False
1898-04-02,Scotland,England,1706.409015732149,1755.5920361844026,1,3,British Home Championship,False
1899-02-18,England,Northern Ireland,1781.359685928557,1243.4949194442736,13,2,British Home Championship,False
1899-03-04,Northern Ireland,Wales,1241.4490108882753,1300.0995438697803,1,0,British Home Championship,False
1899-03-18,Wales,Scotland,1286.8763627181954,1680.6413659879947,0,6,British Home Championship,False
1899-03-20,England,Wales,1783.4055944845552,1276.9544299865527,4,0,British Home Championship,False
1899-03-25,Scotland,Northern Ireland,1690.5632987196375,1254.6721920398602,9,1,British Home Championship,False
1899-04-08,England,Scotland,1785.068851154167,1693.6795640514667,2,1,British Home Championship,False
1900-02-03,Scotland,Wales,1686.1970611011013,1275.2911733169408,5,2,British Home Championship,False
1900-02-24,Wales,Northern Ireland,1272.6576108517063,1251.555926708031,2,0,British Home Championship,False
1900-03-03,Northern Ireland,Scotland,1236.5956019137004,1688.8306235663358,0,3,British Home Championship,False
1900-03-17,Northern Ireland,England,1230.4881423431848,1792.5513541045325,0,2,British Home Championship,False
1900-03-26,Wales,England,1287.6179356460368,1795.4936575089598,1,1,British Home Championship,False
1900-04-07,Scotland,England,1694.9380831368514,1783.1105915023577,4,1,British Home Championship,False
1901-02-23,Scotland,Northern Ireland,1720.29481891389,1227.5458389387575,11,0,British Home Championship,False
1901-03-02,Wales,Scotland,1300.001001652639,1722.9280775386128,1,1,British Home Championship,False
1901-03-09,England,Northern Ireland,1757.7538557253192,1224.9125803140346,3,0,British Home Championship,False
1901-03-18,England,Wales,1759.0930217628425,1310.9561239931418,6,0,British Home Championship,False
1901-03-23,Northern Ireland,Wales,1223.5734142765114,1308.3499099427268,0,1,British Home Championship,False
1901-03-30,England,Scotland,1761.6992358132575,1711.97295519811,2,2,British Home Championship,False
1902-02-22,Wales,Northern Ireland,1324.0067411596006,1207.9165830596376,0,3,British Home Championship,False
1902-03-01,Northern Ireland,Scotland,1248.6694314551683,1718.0646400584008,1,5,British Home Championship,False
1902-03-03,Wales,England,1283.2538927640699,1755.6075509529667,0,0,British Home Championship,False
1902-03-15,Scotland,Wales,1724.0584323946464,1295.1055179411608,5,1,British Home Championship,False
1902-03-22,Northern Ireland,England,1242.6756391189226,1743.7559257758758,0,1,British Home Championship,False
1902-05-03,England,Scotland,1746.4678195858285,1726.6143347720085,2,2,British Home Championship,False
1902-07-20,Uruguay,Argentina,1500.0,1500.0,0,6,Friendly,False
1902-10-12,Austria,Hungary,1500.0,1500.0,5,0,Friendly,False
1903-02-14,England,Northern Ireland,1741.4892648044447,1239.96374530897,4,0,British Home Championship,False
1903-03-02,England,Wales,1743.198903014827,1292.5496155637986,2,1,British Home Championship,False
1903-03-09,Wales,Scotland,1291.3400617988655,1731.5928895533923,0,1,British Home Championship,False
1903-03-21,Scotland,Northern Ireland,1735.3012773893058,1238.2541070985876,0,2,British Home Championship,False
1903-03-28,Northern Ireland,Wales,1281.851792336488,1287.631673962952,2,0,British Home Championship,False
1903-04-04,England,Scotland,1744.4084567797602,1691.7035921514055,1,2,British Home Championship,False
1903-04-05,Hungary,Czechoslovakia,1485.6025999921153,1500.0,2,1,Friendly,False
1903-06-11,Hungary,Austria,1493.1874334547679,1514.3974000078847,3,2,Friendly,False
1903-09-13,Argentina,Uruguay,1527.2027624916227,1472.7972375083773,2,3,Friendly,False
1903-10-11,Austria,Hungary,1506.6270679136567,1500.957765548996,4,2,Friendly,False
1904-02-29,Wales,England,1271.0880826336672,1723.2097602556391,2,2,British Home Championship,False
1904-03-12,Northern Ireland,England,1298.3953836657727,1711.701749831857,1,3,British Home Championship,False
1904-03-12,Scotland,Wales,1712.9022886755265,1282.5960930574495,1,1,British Home Championship,False
1904-03-21,Wales,Northern Ireland,1296.2430458676674,1292.0314330974677,0,1,British Home Championship,False
1904-03-26,Northern Ireland,Scotland,1311.400369104444,1699.2553358653086,1,1,British Home Championship,False
1904-04-09,Scotland,England,1689.0601830515134,1718.0657004001619,0,1,British Home Championship,False
1904-05-01,Belgium,France,1500.0,1500.0,3,3,Évence Coppée Trophy,False
1904-06-02,Hungary,Austria,1490.3842255535196,1517.200607909133,3,0,Friendly,False
1904-10-09,Austria,Hungary,1503.3332301607918,1504.2516033018608,5,4,Friendly,False
1905-02-12,France,Switzerland,1504.2019499940866,1500.0,1,0,Friendly,False
1905-02-25,England,Northern Ireland,1736.0888192500468,1321.5955219182392,1,1,British Home Championship,False
1905-03-06,Wales,Scotland,1276.874109860691,1671.0370642016285,3,1,British Home Championship,False
1905-03-18,Scotland,Northern Ireland,1633.0272451254552,1335.1198746604327,4,0,British Home Championship,False
1905-03-27,England,Wales,1722.5644665078532,1314.8839289368643,3,1,British Home Championship,False
1905-04-01,England,Scotland,1724.861948623188,1638.1971577723384,1,0,British Home Championship,False
1905-04-08,Northern Ireland,Wales,1329.9499620135496,1312.5864468215295,2,2,British Home Championship,False
1905-04-09,Hungary,Austria,1497.028526665259,1510.5563067973935,0,0,Friendly,False
1905-04-17,Guernsey,Alderney,1500.0,1500.0,6,0,Muratti Vase,False
1905-04-27,Jersey,Guernsey,1500.0,1522.9458562625662,0,1,Muratti Vase,False
1905-04-30,Belgium,Netherlands,1495.7980500059134,1500.0,1,4,Friendly,False
1905-05-07,Belgium,France,1473.5914680610913,1511.2895805148278,7,0,Friendly,False
1905-05-14,Netherlands,Belgium,1522.2065819448221,1492.0994815257066,4,0,Friendly,False
1905-07-21,Guyana,Trinidad and Tobago,1500.0,1500.0,1,4,Friendly,False
1905-08-15,Argentina,Uruguay,1513.0297906030032,1486.9702093969968,0,0,Copa Lipton,False
1906-02-17,Northern Ireland,England,1325.0672920244926,1732.498231568273,0,5,British Home Championship,False
1906-03-03,Scotland,Wales,1630.5608748272534,1317.4691168105865,0,2,British Home Championship,False
1906-03-17,Northern Ireland,Scotland,1316.3326236281441,1589.3800183530334,0,1,British Home Championship,False
1906-03-19,Wales,England,1358.6499732848065,1741.2328999646215,0,1,British Home Championship,False
1906-03-29,Jersey,Guernsey,1481.726795557787,1541.2190607047792,1,2,Muratti Vase,False
1906-04-01,Hungary,Czechoslovakia,1494.5898047326311,1492.4151665373474,1,1,Friendly,False
1906-04-02,Wales,Northern Ireland,1353.7213951317533,1308.2415982212563,4,4,British Home Championship,False
1906-04-02,Guernsey,Alderney,1557.9600387502562,1477.0541437374338,1,0,Muratti Vase,False
1906-04-07,Scotland,England,1597.4710437599213,1746.1614781176747,2,1,British Home Championship,False
1906-04-22,France,Belgium,1492.7815670502125,1480.0601560763484,0,5,Friendly,False
1906-04-29,Belgium,Netherlands,1506.330446585857,1534.2459073941802,5,0,Friendly,False
1906-05-13,Netherlands,Belgium,1518.3368942051416,1522.2394597748957,2,3,Friendly,False
1906-07-09,Argentina,South Africa,1507.814243491981,1500.0,0,1,Friendly,False
1906-08-15,Uruguay,Argentina,1492.185756508019,1494.8070131457587,0,2,Copa Lipton,False
1906-10-07,Czechoslovakia,Hungary,1495.2740442440272,1491.7309270259514,4,4,Friendly,False
1906-10-21,Argentina,Uruguay,1523.453177689856,1463.5395919639218,2,1,Copa Newton,False
1906-11-04,Hungary,Austria,1494.6259326041118,1512.9950287300214,3,1,Friendly,False
1907-02-16,England,Northern Ireland,1729.0729977157202,1314.1794286280278,1,0,British Home Championship,False
1907-02-23,Northern Ireland,Wales,1312.7070108804671,1347.7835647249817,2,3,British Home Championship,False
1907-03-04,Wales,Scotland,1365.554359451645,1614.5595241618757,1,0,British Home Championship,False
1907-03-16,Scotland,Northern Ireland,1593.4938595812969,1294.9362161538038,3,0,British Home Championship,False
1907-03-18,England,Wales,1730.545415463281,1386.620024032224,1,1,British Home Championship,False
1907-03-21,Alderney,Jersey,1469.2276181222471,1464.98581751231,1,2,Muratti Vase,True
1907-04-04,Jersey,Guernsey,1480.1689416672375,1565.786564365443,2,3,Muratti Vase,False
1907-04-06,England,Scotland,1717.7072716293776,1598.3027342830133,1,1,British Home Championship,False
1907-04-07,Hungary,Czechoslovakia,1506.1650926589662,1492.3790386658668,5,2,Friendly,False
1907-04-14,Belgium,Netherlands,1534.9369270043958,1505.6394269756415,1,3,Friendly,False
1907-04-21,Belgium,France,1514.5988886918244,1466.5112765407039,1,2,Friendly,False
1907-05-05,Austria,Hungary,1501.455868675167,1518.1302808467133,3,1,Friendly,False
1907-05-09,Netherlands,Belgium,1525.977465288213,1500.577226675534,1,2,Friendly,False
1907-10-06,Czechoslovakia,Hungary,1480.4138504781197,1506.6603129531425,5,3,Friendly,False
1907-11-03,Hungary,Austria,1494.7975263344597,1512.9258365687379,4,1,Friendly,False
1908-02-15,Northern Ireland,England,1290.1273414520874,1709.3210390814627,1,3,British Home Championship,False
1908-03-07,Scotland,Wales,1606.6889668309282,1399.4581678661273,2,1,British Home Championship,False
1908-03-08,Switzerland,France,1492.9123694792588,1480.5329385569944,1,2,Friendly,False
1908-03-14,Northern Ireland,Scotland,1283.9463248057252,1611.0606019070676,0,5,British Home Championship,False
1908-03-16,Wales,England,1395.0865327899878,1715.5020557278249,1,7,British Home Championship,False
1908-03-29,Belgium,Netherlands,1514.0375640023651,1512.5171279613817,1,4,Friendly,False
1908-04-02,Guernsey,Alderney,1581.4071470684619,1454.0444939673196,3,0,Muratti Vase,True
1908-04-04,Scotland,England,1623.8361891800755,1729.4926554165202,1,1,British Home Championship,False
1908-04-05,Hungary,Czechoslovakia,1508.2483990305407,1492.2766370968025,5,2,Friendly,False
1908-04-05,Switzerland,Germany,1479.7861024589135,1500.0,5,3,Friendly,False
1908-04-09,Guernsey,Jersey,1598.4435035769977,1464.5483589642186,0,4,Muratti Vase,False
1908-04-11,Wales,Northern Ireland,1381.0959331012925,1271.1707375327173,0,1,British Home Championship,False
1908-04-12,France,Belgium,1493.6592055773397,1491.5648026280835,1,2,Friendly,False
1908-04-26,Netherlands,Belgium,1534.9898893356633,1504.4215595866322,3,1,Friendly,False
1908-05-03,Austria,Hungary,1499.4749638726569,1520.1147057241876,4,0,Friendly,False
1908-05-10,Netherlands,France,1544.6039958050258,1480.802448618791,4,1,Friendly,False
1908-06-06,Austria,England,1514.0151039147652,1729.2484677126604,1,6,Friendly,False
1908-06-07,Austria,Germany,1500.4154840173467,1488.3853415001663,3,2,Friendly,False
1908-06-08,Austria,England,1507.2982906075317,1742.848087610079,1,11,Friendly,False
